2017/04/24    SADMS051 经营月报表上报
	      SADMS052 吸收率报表上报
	      SEDMS006 下发配件货运单信息

2017/04/25    SEDMS007 经销商上报车辆维修信息（维修结算上报）
	      SEDMS008 经销商库存信息上报
	      SEDMS009 服务活动完成情况下发
	      SEDMS010 上报三包维修方案
	      SEDMS011 三包状态下发

2017/04/26    SEDMS012 经销商上报未结算的索赔工单
	      SEDMS013 经销商上报未结算的索赔工单的变更删除业务上报
	      SEDMS016 将符合条件的客户经理上传至微信平台
	      CLDMS018 接收保养套餐主数据
	      SADMS099 保养套餐修改上报接口
	      SADMS111 限价车系及维修类型数据下发接口

2017/04/27    CLDMS015 微信解绑
	      CLDMS014 修改微信首要联系方式
	      CLDMS013 接收微信绑定信息
	      SADMS061 一对一客户经理绑定
	      SADMS113 未结算的工单作废上报接口
	      SADMS112 计划任务每日上报未结算的工单接口

2017/04/28    配件移库页面

2017/05/02    前后台页面互联成功

2017/05/03    完成新增配件页面，现在整个模块就差一个表格联动

2017/05/04    按钮联动，页面调整

2017/05/05    配件查询替换件

2017/05/06    配件新增到移库单

2017/05/08    移库配件编辑    

2017/05/09    移库单出库

2017/05/10    移库单出库

2017/05/11    移库单出库

2017/05/12    移库单打印

2017/05/15    修改移库中的bug

2017/05/16    批量移库

2017/05/16    配件报损

2017/05/16    根据盘点单号查询报损信息

	
